# matcher: flag.#hasOption & flag.opt.recursive
# Each row is a single DEBUNDLED flag token, as the parser now emits (e.g.
# `-rf` debundles to `-r` and `-f`). The oracle is exact set membership over
# opt.recursive's spellings (-r, -R, --recursive), not the old bundle regex.
# match   = token is one of opt.recursive's recursive spellings
# nomatch = token is not a recursive spelling
#
# Recursive spellings (GNU rm: -r, -R, --recursive).
-r	match
-R	match
--recursive	match
#
# Non-recursive debundled tokens.
-f	nomatch
--force	nomatch
-i	nomatch
-I	nomatch
--interactive	nomatch
-v	nomatch
--verbose	nomatch
-x	nomatch
--one-file-system	nomatch
-d	nomatch
--dir	nomatch
--recursively	nomatch
--no-preserve-root	nomatch
